-89950, 43881
-89630, -56525
-89541, 38572
-88953, -83936
-88950, -87001
-88819, -14687
-88686, -26453
-88374, -26006
-88218, -44330
-88041, -62566
-88001, 7728
-87763, 76517
-87756, 52773
-87074, 30629
-86951, -86320
-86815, 29024
-86312, 43563
-86019, -77070
-85844, 74300
-85637, 15175
-85582, -57688
-85334, -44158
-84720, -39338
-84161, -10433
-83781, -37452
-83201, 83525
-82826, -28036
-82510, -78186
-82307, 21422
-82061, 65791
-81375, 88803
-81356, 50319
-81230, 96499
-80741, -38829
-80722, 53326
-80340, -55091
-80189, 14347
-80035, 16360
-79798, -50316
-79634, -79965
-79417, 87535
-79335, 65352
-79257, -9948
-78960, 45304
-78356, -14103
-77891, 2512
-77748, 72811
-77741, 56805
-77214, 52600
-76883, 25454
-76853, 2239
-76549, 91002
-76478, 22969
-76070, 37375
-75868, -68544
-75816, 46950
-75474, -65831
-75438, -87512
-75204, 15114
-74628, 44647
-74060, -11554
-73987, -70520
-73841, 83783
-73626, -39049
-73550, -74410
-73474, 8007
-73338, -63869
-73269, 95280
-73185, 52684
-72733, 42519
-72510, -72383
-72447, 43424
-71996, 34039
-71904, 33816
-71847, 69487
-71175, -53441
-71139, 59233
-71086, -29501
-70956, -78108
-70732, 17090
-70606, 93482
-70499, 82871
-70488, 80458
-70220, 42209
-70198, 92209
-70142, 97145
-70026, 35431
-70005, 22420
-69895, 44940
-69750, -44429
-69618, 20958
-69598, -60345
-69525, -53154
-69205, -67020
-69014, -36661
-68903, 44416
-68776, -2068
-68391, 44872
-68055, 58070
-67761, -30154
-67685, 53294
-67672, -37194
-67504, -95
-67158, -54807
-66981, -26741
-66931, -1391
-66616, 3364
-66495, 45204
-66458, -16259
-66398, 99810
-66307, 40225
-66120, -57756
-65936, 98702
-65892, -43082
-65888, -64460
-65792, -62764
-65564, -84553
-65535, -84891
-65434, 66606
-65212, 84480
-65196, -47331
-64978, 70757
-64515, 73778
-64473, -39632
-64466, 45176
-63866, 11668
-63842, -21093
-63795, -53111
-63366, 85234
-63109, 81255
-62824, -44209
-62789, -33461
-61965, -25939
-61885, 94267
-61596, 14025
-61049, 10017
-60949, 59055
-60853, 25384
-60165, 31043
-59975, 20182
-59652, 96299
-59623, 53847
-59553, 92261
-59407, 44220
-59143, 11533
-59081, 55799
-58855, -18440
-58632, -85480
-58624, -41282
-58288, -2994
-58224, 77610
-58201, 29053
-58189, 44910
-57886, 62971
-57842, -40199
-57566, 39079
-56925, 84314
-56645, 54923
-56099, -88723
-56081, 53415
-55888, -89158
-55811, -42002
-55690, -8717
-55509, -36055
-55481, -81592
-55400, 14182
-55050, 24140
-54886, 20309
-54819, -6445
-54401, -50502
-54346, 49641
-53362, 25093
-53269, -52285
-53252, 25876
-53150, 69028
-52919, -20396
-52793, 10118
-52021, 21846
-52016, -86498
-51898, -56188
-51346, -7482
-51215, -60767
-51110, -65032
-50970, 39877
-50820, 55878
-50610, 35579
-50450, -31354
-50165, -9891
-50043, -61219
-49274, 97710
-49055, -9931
-48828, -18640
-48762, 90861
-48715, 70252
-48687, 60138
-48134, 99837
-48052, -35153
-47795, -9997
-47560, 69897
-47096, -74077
-47037, 89831
-46854, -19613
-46610, -77112
-46374, 49915
-46253, 34632
-46179, -80425
-46110, 95879
-45682, -29828
-45468, -71495
-45444, 36328
-45261, -7463
-45085, 61108
-45054, -35805
-44774, -47419
-44741, -51593
-44471, 2189
-44207, 63071
-43495, -80627
-43468, 88965
-43426, 99396
-43338, 55209
-43152, 68787
-42970, -34813
-42916, -939
-42879, 44489
-42746, 85661
-42539, 72106
-41950, 8208
-41262, -17685
-40860, -34329
-40828, -61287
-40806, 53648
-40650, 95118
-40431, 32526
-40393, 33702
-40005, 79360
-39757, -89200
-39655, 77029
-39637, -18657
-39491, -23548
-39320, 21261
-39087, -24628
-38726, 46224
-38713, -39099
-38707, -37658
-38647, -43270
-38600, 3494
-38338, 84928
-38327, -44089
-38314, 43180
-38258, 62521
-38104, 76212
-38031, 62422
-37821, 27516
-37753, 95600
-37750, -28249
-37648, 37909
-37310, 66154
-37026, -37683
-36881, -63920
-36761, -7393
-36630, 25226
-36577, 46762
-36444, 69597
-36248, 45301
-35752, -8747
-35336, 11605
-35026, -13402
-34564, -41130
-34325, -64124
-34196, 28882
-34189, -54825
-34131, -70629
-34023, 62291
-33822, -13704
-33777, 3738
-32919, -19812
-32781, -61530
-32408, -85314
-32274, -21470
-32170, -28512
-31915, -35072
-31617, 78865
-31328, -63714
-31323, -13527
-31316, 96781
-31280, 57380
-31085, -35718
-30915, -60122
-30816, -11393
-30754, 80390
-30486, 43835
-30319, 71304
-30218, 81775
-30177, 92017
-30133, 44983
-29800, -80591
-29356, -3006
-28691, -27837
-28480, 92127
-28477, -84540
-28391, 52668
-28372, -89555
-28359, -60001
-28074, 93954
-28020, -79496
-27887, -78095
-27880, 78632
-27664, -75510
-27611, 76244
-27120, -215
-27090, -53320
-26990, -54245
